epoch,loss,val_loss,val_acc,fold
0,0.4504739164405399,0.39749224252700804,tensor(0.4558),0
1,0.3852462380886078,0.36329599165916443,tensor(0.5138),0
2,0.3596916855600145,0.3470848466873169,tensor(0.5448),0
3,0.3399866266303592,0.32772379746437075,tensor(0.5798),0
4,0.32131722548802694,0.32356470170021057,tensor(0.5856),0
5,0.311131588628557,0.3086122633218765,tensor(0.6072),0
6,0.2994096509774526,0.3013892465353012,tensor(0.6222),0
7,0.29057360546853805,0.2957060815811157,tensor(0.6240),0
8,0.282168525452084,0.2866127423524857,tensor(0.6324),0
9,0.2759825130727556,0.2840079789161682,tensor(0.6426),0
10,0.26947264568010965,0.2722109157085419,tensor(0.6672),0
11,0.2636144694911109,0.27450076324939726,tensor(0.6536),0
12,0.25784403449164495,0.26809219732284545,tensor(0.6666),0
13,0.25346171757909985,0.26463113226890567,tensor(0.6668),0
14,0.24959721678362953,0.2608464819908142,tensor(0.6726),0
15,0.24544902297125923,0.2553741030693054,tensor(0.6886),0
16,0.24196262350612216,0.25630274727344515,tensor(0.6860),0
17,0.23947092292573716,0.2571850969791412,tensor(0.6828),0
18,0.2360238162279129,0.250702256155014,tensor(0.6912),0
19,0.23364703949822319,0.25205651409626006,tensor(0.6894),0
20,0.23062086545891233,0.24911255502700805,tensor(0.6862),0
21,0.22877231916851468,0.24745917420387267,tensor(0.6986),0
22,0.2271083949168523,0.24566102523803712,tensor(0.6998),0
23,0.22529492308563656,0.24189354264736176,tensor(0.6994),0
24,0.22363502486017015,0.24207331790924072,tensor(0.7086),0
25,0.2224756778717041,0.24383204476833342,tensor(0.7058),0
26,0.22093661678897009,0.24241680529117585,tensor(0.6984),0
